ilce,lat,lng
Adalar,40.8741659,29.1293251
Arnavutköy,41.0671774,29.0432713
Ataşehir,40.9929379,29.1135187
Avcılar,40.9799389,28.7216689
Bağcılar,41.034547,28.8567558
Bahçelievler,40.5992003,43.1159373
Beylikdüzü,41.0037541,28.6372583
Kartal,47.66792,19.5311002
Esenyurt,41.0342862,28.6801113
Güngören,41.0252791,28.8726908
Çekmeköy,41.0351579,29.1739149
Maltepe,40.9247539,29.1310782
Sarıyer,41.1706034,29.0543628
Esenler,41.0376175,28.8824519
Ümraniye,41.0256362,29.0963049
Beşiktaş,41.0428465,29.0075283
Kadıköy,40.990992,29.0254305
Sancaktepe,40.9905196,29.2288624
Beyoğlu,41.0284233,28.9736808
Kağıthane,41.0812087,28.9730151
Sultangazi,41.1043344,28.8614367
Eyüpsultan,41.0478358,28.9327383
Başakşehir,41.1075794,28.7950711
Pendik,40.8768715,29.2349672
Bakırköy,40.9782585,28.8744461
Şişli,41.0637891,28.9831642
Üsküdar,41.0265498,29.0151321
Silivri,41.0742476,28.2481709
Gaziosmanpaşa,41.0578055,28.912291
Büyükçekmece,41.021654,28.579757
Sultanbeyli,40.9670242,29.2671314
Küçükçekmece,40.9918737,28.7711956
Şile,-31.7613365,-71.3187697
Bayrampaşa,41.0345549,28.9118417
Beykoz,41.1343001,29.0920378
Çatalca,41.1436804,28.4605154
Fatih,41.0192846,28.9479296
Tuzla,44.5391105,18.675193
Zeytinburnu,40.9898653,28.9037467
